experiment_name,mean_fit_time,mean_score_time,mean_test_score,param_alpha,param_colsample_bytree,param_lambda,param_max_depth,param_min_child_weight,param_subsample,params,rank_test_score,run_number,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
random search for 1 group,1.1104417324066163,0.005592727661132812,0.6123808516305624,,,,9,3,,"{'max_depth': 9, 'min_child_weight': 3}",230,10,0.6706726775744859,0.5878327607985796,0.5942972166307536,0.573205302172505,0.635896300976488,0.05781585429865128,6.421698982225649e-05,0.0358197253575729
random search for 1 group,0.4508671283721924,0.004994487762451172,0.657019070702337,,,,6,9,,"{'max_depth': 6, 'min_child_weight': 9}",3,10,0.7014836093509699,0.6518895694025653,0.5886814389823316,0.6807373029123847,0.6623034328634338,0.015603469335763417,0.0001630685898188444,0.03811539823362361
random search for 1 group,0.5183263301849366,0.0050621509552001955,0.642776920443931,,,,6,2,,"{'max_depth': 6, 'min_child_weight': 2}",138,10,0.7105954095966389,0.6477976765481852,0.6062273133631263,0.6128273119001884,0.6364368908115157,0.00985302612711357,0.00013787780854355173,0.03714190158901104
random search for 1 group,0.8013036727905274,0.005424594879150391,0.6305370093643334,,,,8,4,,"{'max_depth': 8, 'min_child_weight': 4}",209,10,0.68744834512186,0.6012508644863743,0.6173001317371654,0.5931430734746531,0.653542632001614,0.04346483889349333,0.00026079490572978784,0.035211811833774864
random search for 1 group,0.6852736949920655,0.0052455425262451175,0.643484098778365,,,,8,6,,"{'max_depth': 8, 'min_child_weight': 6}",134,10,0.6959995288226339,0.6335452090179006,0.6102195060162341,0.6217139167663233,0.6559423332687333,0.03609101982072599,8.734553071646025e-05,0.03030621548623321
random search for 1 group,1.2596547603607178,0.005698966979980469,0.6103806375290979,,,,9,2,,"{'max_depth': 9, 'min_child_weight': 2}",235,10,0.658294157668392,0.5869169684175619,0.5928297414389128,0.5690922542798997,0.6447700658407236,0.04985323271293638,0.00021359438150381923,0.03476103135643643
random search for 1 group,0.348298978805542,0.004752445220947266,0.6350066618630212,,,,4,1,,"{'max_depth': 4, 'min_child_weight': 1}",183,10,0.6805950419924609,0.6438366011921748,0.5630578210784793,0.6348287465812052,0.6527150984707865,0.008867361447329308,8.223905281782798e-05,0.03910632762753599
random search for 1 group,0.34664669036865237,0.004827976226806641,0.6531886734771662,,,,4,5,,"{'max_depth': 4, 'min_child_weight': 5}",32,10,0.7062558287830456,0.6350946367583017,0.5804427865892499,0.6704592224090109,0.6736908928462231,0.008797675960508953,0.0002426300497596593,0.04278806856032564
random search for 1 group,0.5763193130493164,0.005024385452270508,0.642000610172335,,,,7,6,,"{'max_depth': 7, 'min_child_weight': 6}",145,10,0.700784311104035,0.6344014319065386,0.6020944565185362,0.6255508126437883,0.6471720386887767,0.020787986627494516,1.6931009644386256e-05,0.03287282043456068
random search for 1 group,0.4952690124511719,0.0057259082794189455,0.6474485754399055,,,,6,4,,"{'max_depth': 6, 'min_child_weight': 4}",101,10,0.7346023790738694,0.6248150799140801,0.6127151554419047,0.6092402704216315,0.6558699923480416,0.012758429678890156,0.0006391229426300005,0.04657309503877257
random search for 1 group,0.513154935836792,0.00508584976196289,0.642776920443931,,,,6,2,,"{'max_depth': 6, 'min_child_weight': 2}",138,10,0.7105954095966389,0.6477976765481852,0.6062273133631263,0.6128273119001884,0.6364368908115157,0.01309728138116958,8.359740101288209e-05,0.03714190158901104
random search for 1 group,0.9108821392059326,0.005582571029663086,0.6283601687629187,,,,9,5,,"{'max_depth': 9, 'min_child_weight': 5}",217,10,0.6675066356595779,0.6193587218263101,0.60506741246331,0.6075205344885053,0.6423475393768898,0.05928631094923042,0.00012438633393054216,0.023604920278876885
random search for 1 group,0.8717389583587647,0.005393791198730469,0.6314537832939452,,,,8,3,,"{'max_depth': 8, 'min_child_weight': 3}",201,10,0.699797748227383,0.610777301655608,0.5971163865046354,0.6102091190144437,0.6393683610676562,0.035873251357078056,5.0361183044866503e-05,0.03685497946197997
random search for 1 group,0.5253986835479736,0.005063056945800781,0.6312042965351058,,,,6,1,,"{'max_depth': 6, 'min_child_weight': 1}",205,10,0.6781255468896761,0.6239661746742327,0.6079173887139948,0.6053591515398546,0.6406532208577704,0.007211142443319418,6.659880647758391e-05,0.026659061909448466
random search for 1 group,0.31455116271972655,0.004761457443237305,0.6483210879979175,,,,3,6,,"{'max_depth': 3, 'min_child_weight': 6}",80,10,0.7064330630194322,0.6358017815723074,0.5508468211754239,0.6810647122074753,0.6674590620149485,0.008848434750610888,0.00015549066778515274,0.05380218274887263
random search for 1 group,1.4254855632781982,0.005666399002075195,0.6024519869930074,,,,9,1,,"{'max_depth': 9, 'min_child_weight': 1}",239,10,0.6262109634958821,0.587827018371416,0.6233054572781702,0.5309109718965204,0.6440055239230481,0.04255836274364081,5.2454818307703306e-05,0.04014488551985893
random search for 1 group,0.682100486755371,0.005094766616821289,0.6337013193892,,,,7,2,,"{'max_depth': 7, 'min_child_weight': 2}",192,10,0.6748754745217361,0.6251374242956154,0.6133756897492256,0.5922402285512366,0.6628777798281862,0.011862090151614173,7.809873578107665e-05,0.03082878676670575
random search for 1 group,0.41083831787109376,0.004787445068359375,0.6405056126148437,,,,5,2,,"{'max_depth': 5, 'min_child_weight': 2}",149,10,0.7066092428485564,0.6283856452346024,0.5866734139006866,0.6303809451657538,0.6504788159246193,0.00801182566760334,4.713023350398365e-05,0.039029380812374684
random search for 1 group,1.108766508102417,0.005580091476440429,0.6123808516305624,,,,9,3,,"{'max_depth': 9, 'min_child_weight': 3}",230,10,0.6706726775744859,0.5878327607985796,0.5942972166307536,0.573205302172505,0.635896300976488,0.058005261805778155,5.343483235836393e-05,0.0358197253575729
random search for 1 group,0.3131110191345215,0.004639053344726562,0.6487577195259971,,,,3,7,,"{'max_depth': 3, 'min_child_weight': 7}",73,10,0.705096536248806,0.6336010437150448,0.5548573243647923,0.6826650969033545,0.667568596397988,0.00993064500264623,3.293650631078206e-05,0.052392042586825546
random search for 1 group,0.6650422573089599,0.005220746994018555,0.6380619231963699,,,,8,7,,"{'max_depth': 8, 'min_child_weight': 7}",165,10,0.681102749812396,0.6119865345627222,0.6037585696339662,0.6471268385435496,0.6463349234292151,0.03882569066452275,0.00012064890393679763,0.027784074348151493
random search for 1 group,0.7686753749847413,0.005328130722045898,0.635256722818928,,,,9,8,,"{'max_depth': 9, 'min_child_weight': 8}",178,10,0.6750541508207026,0.6264736439193792,0.6120360769641002,0.6183778747533848,0.6443418676370729,0.044798628774896675,0.00010207405246366507,0.02266103048324953
random search for 1 group,0.31493215560913085,0.004948091506958008,0.6445199774469427,,,,3,4,,"{'max_depth': 3, 'min_child_weight': 4}",121,10,0.7120550716578278,0.6345999166298066,0.5487146045077389,0.6699830714344861,0.657247223004854,0.00941349254450705,0.00036220540493144676,0.0541265516648134
random search for 1 group,0.31310715675354006,0.004675626754760742,0.6474590208487027,,,,3,3,,"{'max_depth': 3, 'min_child_weight': 3}",93,10,0.704132685508851,0.6332856156001344,0.5490708601436938,0.6811237481839766,0.6696821948068575,0.008168251138029596,0.00010330685561172413,0.0542590143231491
random search for 1 group,0.3143779277801514,0.0047757625579833984,0.6505939930587898,,,,3,9,,"{'max_depth': 3, 'min_child_weight': 9}",54,10,0.7041709128219857,0.6355412989753935,0.5598165710175411,0.6847214101184442,0.6687197723605852,0.007258822264978233,0.0001395807516413487,0.050657348437114676
random search for 1 group,0.4964047908782959,0.005052709579467773,0.6474485754399055,,,,6,4,,"{'max_depth': 6, 'min_child_weight': 4}",101,10,0.7346023790738694,0.6248150799140801,0.6127151554419047,0.6092402704216315,0.6558699923480416,0.011614301509965558,0.00010149539118886837,0.04657309503877257
random search for 1 group,0.6321211814880371,0.005152702331542969,0.645074590906151,,,,7,4,,"{'max_depth': 7, 'min_child_weight': 4}",115,10,0.7014958114390037,0.6301407236889833,0.6171310030016468,0.6115389309508901,0.6650664854502313,0.018630227139975468,6.556692987861961e-05,0.03379803236151498
random search for 1 group,0.4798897743225098,0.0050445556640625,0.651248567493622,,,,6,6,,"{'max_depth': 6, 'min_child_weight': 6}",43,10,0.7119416599535915,0.6495334789046434,0.6087412085856239,0.6330143998998825,0.653012090124369,0.012029570971783714,6.80957186956325e-05,0.034143999304303986
