mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_lambda,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,experiment_name,run_number
2.9615551630655923,0.45172329689087065,0.6208418210347494,0.18444030021599547,0.723864417619251,0.6727796379021006,"{'alpha': 0.723864417619251, 'lambda': 0.6727796379021006}",0.9261142686209991,0.9268851101037759,0.9267231956924422,0.9265741914724058,0.0003318642705323015,14,random search for 2 group,1
4.229366620381673,0.6201651417714303,0.8924353917439779,0.1660618374931851,0.8049782873299308,0.5828778983626735,"{'alpha': 0.8049782873299308, 'lambda': 0.5828778983626735}",0.9264709266204929,0.9273683241676063,0.9255726727797784,0.9264706411892926,0.0007330716371339092,36,random search for 2 group,1
4.171929597854614,0.4007604370260091,0.7635642687479655,0.09203717170973835,0.38585616308195214,0.014908785479502473,"{'alpha': 0.38585616308195214, 'lambda': 0.014908785479502473}",0.9262178144918198,0.9262638348788513,0.926539112026416,0.9263402537990291,0.00014186358460447626,69,random search for 2 group,1
4.3637800216674805,0.360137111670793,1.2421414057413738,0.29652434186520954,0.9226026172430931,0.20914621675596357,"{'alpha': 0.9226026172430931, 'lambda': 0.20914621675596357}",0.9259647023631469,0.9260107227501784,0.9259753557992108,0.925983593637512,1.9670036274162984e-05,226,random search for 2 group,1
2.924724499384562,0.4105495562381851,0.5453454653422037,0.15664677371410596,0.6081675060312465,0.8207383940743972,"{'alpha': 0.6081675060312465, 'lambda': 0.8207383940743972}",0.9262638348788513,0.9264824317172508,0.9257682616749312,0.9261715094236779,0.00029877829527531205,146,random search for 2 group,1
2.491765101750692,0.03955181199044395,0.4049947261810303,0.01042807489882985,0.6120092742132537,0.6021218949833962,"{'alpha': 0.6120092742132537, 'lambda': 0.6021218949833962}",0.926125773717757,0.9264249062334614,0.9265736277137959,0.9263747692216714,0.00018624104525308128,58,random search for 2 group,1
2.9805328845977783,0.37834528373653425,0.6341934204101562,0.19173522863381703,0.5942461853044708,0.17293716462561326,"{'alpha': 0.5942461853044708, 'lambda': 0.17293716462561326}",0.926206309395062,0.926712533652408,0.9258257878205645,0.9262482102893448,0.00036322289417496623,107,random search for 2 group,1
4.611296653747559,0.4091688295318859,0.754503091176351,0.052088038423542316,0.5763231986148349,0.36849257599947893,"{'alpha': 0.5763231986148349, 'lambda': 0.36849257599947893}",0.9264824317172508,0.9256195494604109,0.9260213767157173,0.926041119297793,0.0003525467103354433,204,random search for 2 group,1
4.598436752955119,1.1325879922759043,1.0484585762023926,0.36297637201153976,0.9372287206756633,0.33084655506698524,"{'alpha': 0.9372287206756633, 'lambda': 0.33084655506698524}",0.9263443705561564,0.925872661589084,0.9264355649642763,0.9262175323698388,0.0002466860306569824,127,random search for 2 group,1
3.3511194388071694,0.320883984528294,0.8565075397491455,0.06340840551033311,0.6232559320664028,0.07569218636324704,"{'alpha': 0.6232559320664028, 'lambda': 0.07569218636324704}",0.9261948042983041,0.926125773717757,0.925998366257464,0.9261063147578416,8.136733297425367e-05,175,random search for 2 group,1
3.464510202407837,0.2897147293833996,0.7630114555358887,0.3481588903205095,0.9508553598545678,0.2583367466909645,"{'alpha': 0.9508553598545678, 'lambda': 0.2583367466909645}",0.9264594215237351,0.9268851101037759,0.9261134185487304,0.9264859833920805,0.0003156011339963211,29,random search for 2 group,1
4.849377870559692,0.8986599616069263,1.0367731253306072,0.19392558384780484,0.8736323074512944,0.7828429383404277,"{'alpha': 0.8736323074512944, 'lambda': 0.7828429383404277}",0.9262983501691249,0.9271497273292069,0.9261019133196038,0.9265166636059785,0.0004547703575895958,17,random search for 2 group,1
4.670135895411174,1.096359207855949,0.8002758026123047,0.2360132882658525,0.7722652082191489,0.6293814201439115,"{'alpha': 0.7722652082191489, 'lambda': 0.6293814201439115}",0.9261717941047884,0.9261372788145148,0.9259523453409575,0.9260871394200869,9.634974188489775e-05,186,random search for 2 group,1
3.1256088415781655,0.5194354487614679,0.7071146965026855,0.1763373898980714,0.5321663147490053,0.4524483693416662,"{'alpha': 0.5321663147490053, 'lambda': 0.4524483693416662}",0.9260567431372098,0.9261832992015463,0.9266081434011758,0.9262827285799773,0.00023583216312572503,87,random search for 2 group,1
2.837112029393514,0.3871978978127704,0.678044319152832,0.2266171996507728,0.41031620282169,0.7466751466620937,"{'alpha': 0.41031620282169, 'lambda': 0.7466751466620937}",0.9259301870728733,0.9261142686209991,0.9259408401118309,0.9259950986019011,8.437808522209789e-05,224,random search for 2 group,1
3.8871949513753257,1.4413421507329494,0.8280032475789388,0.4585133001723473,0.4109921779149557,0.1445715898138885,"{'alpha': 0.4109921779149557, 'lambda': 0.1445715898138885}",0.9256885800409581,0.92637888584643,0.9266886800050623,0.9262520486308169,0.0004180237186242721,103,random search for 2 group,1
