experiment_name,mean_fit_time,mean_score_time,mean_test_score,param_alpha,param_colsample_bytree,param_lambda,param_max_depth,param_min_child_weight,param_subsample,params,rank_test_score,run_number,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
random search for 1 group,0.3466672420501709,0.004979276657104492,0.649218409527402,,,,4,9,,"{'max_depth': 4, 'min_child_weight': 9}",64,8,0.7076490539837288,0.6347110150307216,0.555109332444599,0.6764509894968633,0.672171656681097,0.011978260786342086,7.52252896446175e-05,0.052439656869076964
random search for 1 group,0.5363481044769287,0.005270242691040039,0.6498074563259497,,,,7,9,,"{'max_depth': 7, 'min_child_weight': 9}",55,8,0.6956125619418921,0.6376360013020864,0.5948761115461465,0.6630127696148085,0.6578998372248146,0.024047778792058633,0.0001440475255287852,0.03317701488944539
random search for 1 group,0.5576370239257813,0.005292272567749024,0.6463990438513192,,,,7,7,,"{'max_depth': 7, 'min_child_weight': 7}",105,8,0.6963285378735586,0.6362153166486636,0.6038753322553434,0.6474785799221014,0.6480974525569292,0.023195138906043272,0.0001282603852887313,0.02969504575248905
random search for 1 group,0.41621990203857423,0.005446577072143554,0.6475159499747634,,,,5,3,,"{'max_depth': 5, 'min_child_weight': 3}",84,8,0.7213059058477109,0.6298917951505261,0.5944498742897433,0.6384366489595725,0.6534955256262637,0.0076503287722072925,0.0004267761720065091,0.04168876549264796
random search for 1 group,0.6424439907073974,0.0053939342498779295,0.6505777932427157,,,,8,8,,"{'max_depth': 8, 'min_child_weight': 8}",43,8,0.6914030941887829,0.6439658528297041,0.6055514552346808,0.6546556747066724,0.6573128892537384,0.036438763514213636,0.00017950093856352497,0.02756731652986106
random search for 1 group,0.35064082145690917,0.004993295669555664,0.6436359702507859,,,,4,3,,"{'max_depth': 4, 'min_child_weight': 3}",120,8,0.6938275769897768,0.6322986078474166,0.5622639950426171,0.6584247599535085,0.6713649114206108,0.008261037061641425,4.1433719409673585e-05,0.04529179617073415
random search for 1 group,0.5347617149353028,0.005265092849731446,0.6498074563259497,,,,7,9,,"{'max_depth': 7, 'min_child_weight': 9}",55,8,0.6956125619418921,0.6376360013020864,0.5948761115461465,0.6630127696148085,0.6578998372248146,0.023257665437262758,9.665897334420505e-05,0.03317701488944539
random search for 1 group,0.34641132354736326,0.004926824569702148,0.6524730417535233,,,,4,8,,"{'max_depth': 4, 'min_child_weight': 8}",21,8,0.7067146151144796,0.6347086565259357,0.5708477141001187,0.6740822159904953,0.6760120070365871,0.010950024345177117,0.00013761016442581406,0.046779172877495175
random search for 1 group,0.31679935455322267,0.004746103286743164,0.6445201645166188,,,,3,2,,"{'max_depth': 3, 'min_child_weight': 2}",115,8,0.707219510655684,0.6270967807884528,0.5517166510962614,0.6693436014722424,0.6672242785704534,0.010598370261331388,0.0001277022613508971,0.052875238490671654
random search for 1 group,0.6120141506195068,0.005167818069458008,0.6392722735171613,,,,7,5,,"{'max_depth': 7, 'min_child_weight': 5}",150,8,0.6905585114381925,0.6184113511283627,0.6225688548685377,0.6123903160529944,0.6524323340977192,0.012302433899710762,8.199361562457728e-05,0.029121426164061784
random search for 1 group,0.6403876304626465,0.005349540710449218,0.6505777932427157,,,,8,8,,"{'max_depth': 8, 'min_child_weight': 8}",43,8,0.6914030941887829,0.6439658528297041,0.6055514552346808,0.6546556747066724,0.6573128892537384,0.03793355680346152,0.00022135798838890513,0.02756731652986106
random search for 1 group,1.4605774879455566,0.005979061126708984,0.6024519869930074,,,,9,1,,"{'max_depth': 9, 'min_child_weight': 1}",239,8,0.6262109634958821,0.587827018371416,0.6233054572781702,0.5309109718965204,0.6440055239230481,0.045713486864442245,0.000116390080051941,0.04014488551985893
random search for 1 group,0.5060659408569336,0.005369758605957032,0.6474485754399055,,,,6,4,,"{'max_depth': 6, 'min_child_weight': 4}",97,8,0.7346023790738694,0.6248150799140801,0.6127151554419047,0.6092402704216315,0.6558699923480416,0.013502122663747588,0.00023158280807193047,0.04657309503877257
random search for 1 group,0.3509365558624268,0.005017471313476562,0.6517914850028206,,,,4,6,,"{'max_depth': 4, 'min_child_weight': 6}",26,8,0.7061073593817335,0.6408930881623333,0.5673045562636321,0.6658087282405926,0.6788436929658119,0.010240210554044006,0.00011994302011992428,0.047191811693723114
random search for 1 group,0.6217640399932861,0.005326986312866211,0.6477693412821905,,,,8,9,,"{'max_depth': 8, 'min_child_weight': 9}",76,8,0.6947733049794449,0.6398302665925226,0.5956417852751483,0.6501439241836199,0.6584574253802165,0.027037117390268213,0.00017858426921867868,0.031967350190750844
random search for 1 group,0.9993141174316407,0.005665302276611328,0.628941341671297,,,,9,4,,"{'max_depth': 9, 'min_child_weight': 4}",212,8,0.6768474288523698,0.6050411240723713,0.6024358420722264,0.612536119102078,0.6478461942574396,0.07024702983391871,0.000160766763427272,0.02896646294638775
random search for 1 group,0.31557455062866213,0.004905033111572266,0.6474590208487027,,,,3,3,,"{'max_depth': 3, 'min_child_weight': 3}",91,8,0.704132685508851,0.6332856156001344,0.5490708601436938,0.6811237481839766,0.6696821948068575,0.00850465789837219,0.0001204162909465028,0.0542590143231491
random search for 1 group,0.8891637325286865,0.005814695358276367,0.6314537832939452,,,,8,3,,"{'max_depth': 8, 'min_child_weight': 3}",197,8,0.699797748227383,0.610777301655608,0.5971163865046354,0.6102091190144437,0.6393683610676562,0.03104047507625132,0.0002013229182958802,0.03685497946197997
random search for 1 group,0.3499167442321777,0.005036067962646484,0.6517914850028206,,,,4,6,,"{'max_depth': 4, 'min_child_weight': 6}",26,8,0.7061073593817335,0.6408930881623333,0.5673045562636321,0.6658087282405926,0.6788436929658119,0.007492643563938001,0.0001260440717378315,0.047191811693723114
random search for 1 group,0.3531383514404297,0.004965639114379883,0.6378937835227886,,,,4,2,,"{'max_depth': 4, 'min_child_weight': 2}",158,8,0.6862245558959039,0.6346440545400367,0.5667587391995594,0.6458457881055899,0.6559957798728531,0.009723907118671072,0.00011381590559587911,0.0394905950227485
random search for 1 group,0.6623291015625,0.005290842056274414,0.6426244284021827,,,,7,3,,"{'max_depth': 7, 'min_child_weight': 3}",132,8,0.6962307872359513,0.6209190161988865,0.6088978482278247,0.644699081622415,0.6423754087258357,0.012695986782562396,0.0001420349425143744,0.02995535021785122
random search for 1 group,0.7571272373199462,0.0055716514587402345,0.6370821843331853,,,,9,9,,"{'max_depth': 9, 'min_child_weight': 9}",161,8,0.6781224672044344,0.6277967093619248,0.5895191901367075,0.6411540505239902,0.6488185044388702,0.03545105187216294,0.00015704517246811284,0.028938156763785593
random search for 1 group,0.5354767799377441,0.005308818817138672,0.6498074563259497,,,,7,9,,"{'max_depth': 7, 'min_child_weight': 9}",55,8,0.6956125619418921,0.6376360013020864,0.5948761115461465,0.6630127696148085,0.6578998372248146,0.02521966904086882,0.00021696192353398206,0.03317701488944539
random search for 1 group,0.5233675956726074,0.005233097076416016,0.642776920443931,,,,6,2,,"{'max_depth': 6, 'min_child_weight': 2}",129,8,0.7105954095966389,0.6477976765481852,0.6062273133631263,0.6128273119001884,0.6364368908115157,0.010288655478062805,0.00019114042318726964,0.03714190158901104
random search for 1 group,0.7235799789428711,0.005284452438354492,0.6323951360470051,,,,7,1,,"{'max_depth': 7, 'min_child_weight': 1}",192,8,0.6550269288219474,0.6362642699012022,0.6161907753337306,0.5978058174177585,0.6566878887603871,0.012208047581996048,0.00010221297847398771,0.022699375959460255
random search for 1 group,0.6972591876983643,0.00528111457824707,0.643484098778365,,,,8,6,,"{'max_depth': 8, 'min_child_weight': 6}",126,8,0.6959995288226339,0.6335452090179006,0.6102195060162341,0.6217139167663233,0.6559423332687333,0.03647996783006779,0.00012021551799478566,0.03030621548623321
random search for 1 group,0.7751165866851807,0.0052947521209716795,0.6340761379959088,,,,8,5,,"{'max_depth': 8, 'min_child_weight': 5}",180,8,0.6751917391883147,0.6127918121564904,0.6100443539496252,0.6173072623544325,0.6550455223306814,0.023526001182905598,0.0001092677732325786,0.026237195360622734
random search for 1 group,1.4548467636108398,0.006186103820800782,0.6024519869930074,,,,9,1,,"{'max_depth': 9, 'min_child_weight': 1}",239,8,0.6262109634958821,0.587827018371416,0.6233054572781702,0.5309109718965204,0.6440055239230481,0.047399281963297596,0.000641283411569083,0.04014488551985893
random search for 1 group,0.5323827743530274,0.0052242279052734375,0.6312042965351058,,,,6,1,,"{'max_depth': 6, 'min_child_weight': 1}",203,8,0.6781255468896761,0.6239661746742327,0.6079173887139948,0.6053591515398546,0.6406532208577704,0.00720828835268373,6.838716001894472e-05,0.026659061909448466
random search for 1 group,0.3485271453857422,0.004935503005981445,0.6517914850028206,,,,4,6,,"{'max_depth': 4, 'min_child_weight': 6}",26,8,0.7061073593817335,0.6408930881623333,0.5673045562636321,0.6658087282405926,0.6788436929658119,0.007592715824049863,0.00019137774841884307,0.047191811693723114
random search for 1 group,0.5588758945465088,0.005289745330810547,0.6463990438513192,,,,7,7,,"{'max_depth': 7, 'min_child_weight': 7}",105,8,0.6963285378735586,0.6362153166486636,0.6038753322553434,0.6474785799221014,0.6480974525569292,0.027878772577746014,0.0003410572365666848,0.02969504575248905
random search for 1 group,0.3543748378753662,0.004964303970336914,0.6436359702507859,,,,4,3,,"{'max_depth': 4, 'min_child_weight': 3}",120,8,0.6938275769897768,0.6322986078474166,0.5622639950426171,0.6584247599535085,0.6713649114206108,0.008637869156486995,0.00010091111354310727,0.04529179617073415
random search for 1 group,0.728537130355835,0.005347585678100586,0.6323951360470051,,,,7,1,,"{'max_depth': 7, 'min_child_weight': 1}",192,8,0.6550269288219474,0.6362642699012022,0.6161907753337306,0.5978058174177585,0.6566878887603871,0.013059679214969299,9.292400135535721e-05,0.022699375959460255
